Document_ID	Grade	essay
1_A1_6levels_p7	A1	يومي المفضل هو يوم الجمعة. في هذا اليوم، أشعر بالسعادة والراحة. أصحو في الصباح الباكر، والجو بارد ومنعش. أتناول فطورًا شهيًا مع عائلتي. الخبز الطازج والجبنة اللذيذة تجعل الفطور ممتعًا. بعد ذلك، أذهب إلى الحديقة القريبة. الأشجار خضراء والزهور جميلة جدًا. أستمتع بالمشي تحت الشمس الدافئة. في المساء، ألتقي بأصدقائي في المقهى. نتحدث ونضحك كثيرًا. القهوة الساخنة والموسيقى الهادئة تجعل الوقت رائعًا. أحب هذا اليوم لأنه يجمع بين الراحة والمرح. أعود إلى المنزل وأنا أشعر بالرضا. الجمعة هو يوم مميز وأتمنى أن يكون كل أسبوع مليئًا بالسعادة.
1_A2_6levels_p7	A2	يومي المفضل هو يوم الجمعة. إنه يوم خاص وممتع بالنسبة لي. في هذا اليوم، أستيقظ في الصباح الباكر وأشعر بالنشاط والحيوية. أبدأ يومي بتناول فطور لذيذ وصحي، مثل الخبز الطازج والعسل الحلو. بعد ذلك، أذهب إلى الحديقة القريبة من منزلي. الحديقة مليئة بالأشجار الخضراء والزهور الجميلة. أستمتع بالهواء النقي وأشاهد الأطفال يلعبون بسعادة.  في فترة الظهيرة، أتناول الغداء مع عائلتي. نحضر وجبة شهية، مثل المكرونة بالصلصة الحمراء والسلطة الطازجة. بعد الغداء، أجلس مع أصدقائي المقربين في المقهى الشعبي. نتبادل الأحاديث الشيقة ونشرب القهوة الساخنة. أحب هذه اللحظات لأنها مريحة ومليئة بالمرح.  في المساء، أعود إلى المنزل وأشاهد فيلمًا رائعًا على التلفاز. أحب الأفلام الكوميدية لأنها تجعلني أضحك وأشعر بالسعادة. بعد انتهاء الفيلم، أقرأ كتابًا مثيرًا قبل النوم. القراءة تجعلني أسترخي وتساعدني على النوم بعمق.  أختم يومي بشكر الله على هذه اللحظات الجميلة. يوم الجمعة يمنحني الفرصة للاسترخاء والاستمتاع بالحياة مع العائلة والأصدقاء. إنه يوم مميز يعيد لي الطاقة والحماس للأسبوع القادم.
2_A1_6levels_p7	A1	طعامي المفضل هو البيتزا. أحب البيتزا لأنها لذيذة وساخنة. العجين طري ومقرمش في نفس الوقت. الجبنة الذائبة تجعل الطعم رائعًا. أحيانًا أضيف الخضار الطازجة مثل الفلفل الأخضر والزيتون. أختار أيضًا الفطر اللذيذ. السجق الحار يضيف نكهة مميزة. البيتزا تجعلني سعيدًا وممتلئًا. أتناولها مع العائلة والأصدقاء في المناسبات. البيتزا مريحة وسهلة التحضير. هذه الأسباب تجعلني أحب البيتزا كثيرًا. أستمتع بها في كل الأوقات، سواء كان الغداء أو العشاء. البيتزا دائمًا خيار جيد ولذيذ.
2_A2_6levels_p7	A2	طعامي المفضل هو البيتزا. أحب البيتزا لأنها لذيذة ومتنوعة. يمكنني اختيار مكونات مختلفة لتناسب ذوقي. العجينة الخفيفة والجبن الذائب والطماطم الطازجة يجعلونها وجبة مميزة. أستمتع بتناول البيتزا مع العائلة والأصدقاء. هذا يجعلني سعيدًا وممتنًا للحظات الجميلة.   البيتزا ليست فقط لذيذة، بل هي أيضًا سريعة التحضير. عندما أكون مشغولاً أو متعبًا، يمكنني طلبها بسهولة. كذلك، أستطيع تحضيرها في المنزل. أضيف الفلفل الأخضر والبصل والزيتون للحصول على طعم أفضل. التنوع في النكهات يجعلها وجبة تُناسب الجميع.   في نهاية اليوم، أجد السعادة في تناول البيتزا. إنها تعبر عن البساطة والراحة. بالنسبة لي، البيتزا ليست فقط طعامًا، بل هي تجربة ممتعة. أقدر اللحظات التي أقضيها مع أحبائي أثناء مشاركتها. هذا يجعلها طعامي المفضل دون تردد.
3_A1_6levels_p7	A1	هوايتي المفضلة هي القراءة. أحب الكتب لأنها ممتعة ومفيدة. عندما أقرأ، أشعر بالراحة والسعادة. أحب القصص المشوقة والمغامرات المثيرة. أقرأ في المنزل أو في الحديقة. الكتب صديقتي الوفية، وهي تجعلني أتعلم أشياء جديدة. أحيانًا أقرأ كتبًا عن الحيوانات والنباتات. هذه الكتب ممتعة ومليئة بالمعلومات الجميلة. أحب أيضًا قراءة القصص الخيالية. هذه القصص تأخذني إلى عوالم سحرية. أختار دائمًا الكتب التي تكون لغتها سهلة وبسيطة. القراءة تساعدني على تحسين لغتي وتطوير مهاراتي. أعتقد أن القراءة هواية رائعة ومفيدة للجميع. من الجميل أن أشارك الكتب مع أصدقائي. نستمتع بالحديث عن القصص والأسئلة المثيرة. القراءة تجعل يومي مليئًا بالبهجة والأفكار الجديدة.
3_A2_6levels_p7	A2	الهواية هي نشاط مفضل يقوم به الإنسان في وقت فراغه. هوايتي المفضلة هي القراءة. أجد في قراءة الكتب متعة كبيرة وفائدة عظيمة. الكتب تأخذني إلى عوالم مختلفة وتجعلني أعيش قصصًا ممتعة. أحب قراءة الروايات لأنها مليئة بالمغامرات والشخصيات المثيرة. أحيانًا أقرأ كتبًا علمية لأنها تساعدني على فهم العالم من حولي بشكل أفضل.  القراءة تساعدني على تحسين مفرداتي وتطوير خيالي. عندما أقرأ، أشعر بالراحة والاسترخاء. الهواء النقي والإضاءة الجيدة تجعل تجربة القراءة أكثر متعة. أحيانًا أقرأ في الحديقة حيث الطبيعة الهادئة تمنحني تركيزًا أكبر.  يشجعني والداي كثيرًا على القراءة لأنهم يعرفون فوائدها. أصدقائي أيضًا يحبون القراءة، وغالبًا ما نتبادل الكتب والآراء حولها. هذا يزيد من حماسي لاستكشاف المزيد من العناوين الجديدة.  في النهاية، أعتقد أن القراءة هي هواية مفيدة وممتعة. إنها تجعلني أتعلم أشياء جديدة وتفتح لي آفاقًا واسعة. أتمنى أن يشارك الجميع في هذه الهواية الرائعة لأنها تمنح العقل غذاءً للروح.
4_A1_6levels_p7	A1	ذهبت في رحلة جميلة إلى الجبال مع عائلتي. كانت السماء زرقاء والشمس مشرقة. في الصباح، استمتعنا بالهواء النقي والمناظر الخلابة. أخذنا معنا الطعام اللذيذ والماء البارد. لعبنا ألعابًا ممتعة مثل الكرة والطائرة الورقية. كان الجو معتدلًا والرياح خفيفة. التقينا ببعض الناس الودودين. تحدثنا معهم واستمتعنا بالضحك والحديث. في المساء، جلسنا حول النار الدافئة وأكلنا عشاءً شهيًا. كانت الرحلة ممتعة ومليئة بالذكريات السعيدة. في النهاية، عدنا إلى المنزل ونحن نشعر بالراحة والسرور. كانت رحلة رائعة وأتمنى أن أذهب في رحلة مثلها مرة أخرى قريبًا.
4_A2_6levels_p7	A2	ذهبت في الصيف الماضي في رحلة جميلة مع عائلتي إلى الجبال. كانت الجبال خضراء ومرتفعة، وكان الطقس معتدلًا ولطيفًا. انطلقنا في الصباح الباكر، وكانت السماء صافية والشمس مشرقة. كان الطريق طويلًا لكنه مثير، حيث شاهدنا مناظر طبيعية خلابة. توقفنا في منتصف الطريق لتناول الفطور، وكان الطعام لذيذًا ومغذيًا.  عندما وصلنا إلى الجبال، قررنا أن نقوم بنزهة في الغابة. كانت الأشجار طويلة وكثيفة، والهواء نقي ومنعش. شاهدنا الطيور الملونة وهي تغني بأصوات جميلة. أثناء النزهة، التقطنا صورًا عديدة للمناظر الطبيعية الرائعة. كان الجميع يشعر بالسعادة والراحة. لعبنا مع الأطفال في الحديقة، وشاركنا في بعض الألعاب الممتعة.  في المساء، جلسنا حول نار المخيم. كانت النار دافئة، وجلسنا نتحدث ونضحك. تبادلنا القصص والذكريات، وشعرنا بالانسجام والود. كانت السماء مليئة بالنجوم، تبدو وكأنها لآلئ تتلألأ في ظلام الليل. بعد يوم طويل وممتع، عدنا إلى مخيمنا ونحن نشعر بالتعب لكننا سعداء.  كانت هذه الرحلة من أجمل التجارب التي عشتها مع عائلتي. تعلمت العديد من الأشياء الجديدة واستمتعت بكل لحظة فيها. العودة إلى المنزل كانت هادئة، لكن الذكريات الجميلة بقيت في قلوبنا. كانت رحلة لا تُنسى، وأتمنى أن أكررها في المستقبل.
5_A1_6levels_p7	A1	يبدأ يومي الدراسي صباحًا. أستيقظ باكرًا وأرتدي الزي المدرسي النظيف. أتناول الإفطار اللذيذ مع عائلتي. ثم أذهب إلى المدرسة بسعادة. أحب المدرسة لأنها جميلة وملونة. في الصف، ألتقي بأصدقائي الطيبين. ندرس مواد متنوعة ومفيدة. المعلمون لطفاء ويعلموننا بوضوح. أشارك في الأنشطة المدرسية الممتعة مثل الرياضة والرسم. وقت الغداء مميز، حيث نأكل في الكافتيريا النظيفة. بعد الغداء، نستمر في الدراسة حتى نهاية اليوم. أعود إلى المنزل متعبًا ولكن سعيدًا. أستريح قليلاً ثم أبدأ في حل واجباتي. أحب المدرسة لأنها تجعلني أتعلم أشياء جديدة كل يوم.
5_A2_6levels_p7	A2	في صباح مشرق، استيقظت وأنا أشعر بالنشاط والحيوية للذهاب إلى المدرسة. ارتديت الزي المدرسي النظيف وتناولت فطورًا مغذيًا. حملت حقيبتي الثقيلة واتجهت إلى المدرسة برفقة أصدقائي. كان الطقس معتدلًا والسماء زرقاء صافية.  عند وصولي إلى المدرسة، بدأت الحصة الأولى مع المعلم اللطيف والذي يشرح الدروس بطريقة واضحة ومبسطة. الفصل كان مليئًا بالطلاب المتحمسين للتعلم. في حصة الرياضيات، تعلمنا عن الأعداد بإشراف المعلم الحكيم الذي يستخدم أمثلة عملية لشرح الدروس.  في الفسحة، جلسنا في الحديقة الجميلة وتناولنا الوجبات الخفيفة. تبادلنا الأحاديث المرحة والقصص الممتعة. الأشجار الخضراء من حولنا كانت تضفي جوًا من السعادة والراحة.  بعد الفسحة، عدنا إلى الصفوف الدراسية. درسنا مادة العلوم مع المعلمة المبتسمة التي تحب طرح الأسئلة المثيرة للاهتمام. في نهاية اليوم، كان لدينا حصة للفن حيث رسمنا لوحات بألوان زاهية.  عندما حان وقت الرجوع إلى البيت، شعرت بالتعب ولكنني كنت سعيدًا بما تعلمته. كان يومًا مثمرًا وغنيًا بالمعرفة والتجارب الجميلة. العودة إلى المنزل كانت فرصة للاسترخاء واسترجاع أحداث اليوم الرائعة.
